so bossy,a boss
extra bossy,a boss
bossy,a boss
ultra bossy,a boss
super bossy,a boss
aggressive,assertive
abrasive,assertive
helpful,takes charge
takes care,takes charge
mothers,leads
emotional,passionate
judgemental,great at giving feedback
pushy,persuasive
pushier,more persuasive
pushiest,most persuasive
selfish,dedicated
vain,confident
vainer,more confident
vainest,most confident
show off,confident
bitchy,blunt
bitch,assertive
a bitch,a leader
cold,focused
ice queen,hyper-professional
opportunistic,strategic
temperamental,passionate
dramatic,passionate
calculated,strategic
nag,leader
angry,serious
rigid,decisive
feisty,passionate
chatty,engaging
chattier,more engaging
chattiest,most engaging
mothering,mentoring
mothers,mentors
meek,thoughtful
meeker,more thoughtful
meekest,most thoughtful
quiet,thoughtful
quieter,more thoughtful
quietest,most thoughtful
shrill,vocal
shriller,more vocal
shrillest,most vocal